level,imu,task
1,'0segment_data69.mat',0
1,'0segment_data70.mat',0
1,'0segment_data71.mat',0
0,'0segment_data72.mat',0
0,'0segment_data73.mat',0
0,'0segment_data74.mat',0
0,'0segment_data75.mat',0
0,'0segment_data76.mat',0
0,'0segment_data77.mat',0
0,'0segment_data78.mat',0
0,'0segment_data79.mat',0
0,'0segment_data80.mat',0
0,'0segment_data81.mat',0
0,'0segment_data82.mat',0
0,'0segment_data83.mat',0
0,'0segment_data84.mat',0
0,'0segment_data85.mat',0
0,'0segment_data86.mat',0
0,'0segment_data87.mat',0
0,'0segment_data88.mat',0
0,'0segment_data89.mat',0
0,'0segment_data90.mat',0
0,'0segment_data91.mat',0
0,'0segment_data92.mat',0
0,'0segment_data93.mat',0
0,'0segment_data94.mat',0
0,'0segment_data95.mat',0
0,'0segment_data96.mat',0
0,'0segment_data97.mat',0
0,'0segment_data98.mat',0
0,'0segment_data99.mat',0
0,'0segment_data100.mat',0
0,'0segment_data101.mat',0
0,'0segment_data102.mat',0
0,'0segment_data103.mat',0
0,'0segment_data104.mat',0
0,'0segment_data105.mat',0
0,'0segment_data106.mat',0
0,'0segment_data107.mat',0
0,'0segment_data108.mat',0
0,'0segment_data109.mat',0
0,'0segment_data110.mat',0
0,'0segment_data111.mat',0
0,'0segment_data112.mat',0
0,'0segment_data113.mat',0
0,'0segment_data114.mat',0
0,'0segment_data115.mat',0
0,'0segment_data116.mat',0
0,'0segment_data117.mat',0
0,'0segment_data118.mat',0
0,'0segment_data119.mat',0
0,'0segment_data120.mat',0
0,'0segment_data121.mat',0
0,'0segment_data122.mat',0
0,'0segment_data123.mat',0
0,'0segment_data124.mat',0
0,'0segment_data125.mat',0
0,'0segment_data126.mat',0
0,'0segment_data127.mat',0
0,'0segment_data128.mat',0
0,'0segment_data129.mat',0
0,'0segment_data130.mat',0
0,'0segment_data131.mat',0
0,'0segment_data132.mat',0
0,'0segment_data133.mat',0
0,'0segment_data134.mat',0
0,'0segment_data135.mat',0
0,'0segment_data136.mat',0
0,'0segment_data137.mat',0
0,'0segment_data138.mat',0
0,'0segment_data139.mat',0
0,'0segment_data140.mat',0
0,'0segment_data141.mat',0
0,'0segment_data142.mat',0
0,'0segment_data143.mat',0
0,'0segment_data144.mat',0
0,'0segment_data145.mat',0
0,'0segment_data146.mat',0
0,'0segment_data147.mat',0
0,'0segment_data148.mat',0
0,'0segment_data149.mat',0
0,'0segment_data150.mat',0
0,'0segment_data151.mat',0
0,'0segment_data152.mat',0
0,'0segment_data153.mat',0
0,'0segment_data154.mat',0
0,'0segment_data155.mat',0
0,'0segment_data156.mat',0
0,'0segment_data157.mat',0
0,'0segment_data158.mat',0
0,'0segment_data159.mat',0
0,'0segment_data160.mat',0
0,'0segment_data161.mat',0
0,'0segment_data162.mat',0
0,'0segment_data163.mat',0
0,'0segment_data164.mat',0
0,'0segment_data165.mat',0
0,'0segment_data166.mat',0
0,'0segment_data167.mat',0
0,'0segment_data168.mat',0
0,'0segment_data169.mat',0
0,'0segment_data170.mat',0
0,'0segment_data171.mat',0
0,'0segment_data172.mat',0
0,'0segment_data173.mat',0
0,'0segment_data174.mat',0
0,'0segment_data175.mat',0
0,'0segment_data176.mat',0
0,'0segment_data177.mat',0
0,'0segment_data178.mat',0
0,'0segment_data179.mat',0
0,'0segment_data180.mat',0
0,'0segment_data181.mat',0
0,'0segment_data182.mat',0
0,'0segment_data183.mat',0
0,'0segment_data184.mat',0
0,'0segment_data185.mat',0
0,'0segment_data186.mat',0
0,'0segment_data187.mat',0
0,'0segment_data188.mat',0
0,'0segment_data189.mat',0
0,'0segment_data190.mat',0
0,'0segment_data191.mat',0
0,'0segment_data192.mat',0
0,'0segment_data193.mat',0
0,'0segment_data194.mat',0
0,'0segment_data195.mat',0
0,'0segment_data196.mat',0
0,'0segment_data197.mat',0
0,'0segment_data198.mat',0
0,'0segment_data199.mat',0
0,'0segment_data200.mat',0
0,'0segment_data201.mat',0
0,'0segment_data202.mat',0
0,'0segment_data203.mat',0
0,'0segment_data204.mat',0
0,'0segment_data205.mat',0
0,'0segment_data206.mat',0
0,'0segment_data207.mat',0
0,'0segment_data208.mat',0
0,'0segment_data209.mat',0
0,'0segment_data210.mat',0
0,'0segment_data211.mat',0
0,'0segment_data212.mat',0
0,'0segment_data213.mat',0
0,'0segment_data214.mat',0
0,'0segment_data215.mat',0
0,'0segment_data216.mat',0
0,'0segment_data217.mat',0
0,'0segment_data218.mat',0
0,'0segment_data219.mat',0
0,'0segment_data220.mat',0
0,'0segment_data221.mat',0
0,'0segment_data222.mat',0
0,'0segment_data223.mat',0
0,'0segment_data224.mat',0
0,'0segment_data225.mat',0
0,'0segment_data226.mat',0
0,'0segment_data227.mat',0
0,'0segment_data228.mat',0
0,'0segment_data229.mat',0
0,'0segment_data230.mat',0
0,'0segment_data231.mat',0
0,'0segment_data232.mat',0
0,'0segment_data233.mat',0
0,'0segment_data234.mat',0
0,'0segment_data235.mat',0
0,'0segment_data236.mat',0
0,'0segment_data237.mat',0
0,'0segment_data238.mat',0
0,'0segment_data239.mat',0
0,'0segment_data240.mat',0
0,'0segment_data241.mat',0
0,'0segment_data242.mat',0
0,'0segment_data243.mat',0
0,'0segment_data244.mat',0
0,'0segment_data245.mat',0
0,'0segment_data246.mat',0
0,'0segment_data247.mat',0
0,'0segment_data248.mat',0
0,'0segment_data249.mat',0
0,'0segment_data250.mat',0
0,'0segment_data251.mat',0
0,'0segment_data252.mat',0
0,'0segment_data253.mat',0
0,'0segment_data254.mat',0
0,'0segment_data255.mat',0
0,'0segment_data256.mat',0
0,'0segment_data257.mat',0
0,'0segment_data258.mat',0
0,'0segment_data259.mat',0
0,'0segment_data260.mat',0
0,'0segment_data261.mat',0
0,'0segment_data262.mat',0
0,'0segment_data263.mat',0
0,'0segment_data264.mat',0
0,'0segment_data265.mat',0
0,'0segment_data266.mat',0
0,'0segment_data267.mat',0
0,'0segment_data268.mat',0
0,'0segment_data269.mat',0
0,'0segment_data270.mat',0
0,'0segment_data271.mat',0
0,'0segment_data272.mat',0
0,'0segment_data273.mat',0
0,'0segment_data274.mat',0
0,'0segment_data275.mat',0
0,'0segment_data276.mat',0
0,'0segment_data277.mat',0
0,'0segment_data278.mat',0
0,'0segment_data279.mat',0
0,'0segment_data280.mat',0
0,'0segment_data281.mat',0
0,'0segment_data282.mat',0
0,'0segment_data283.mat',0
0,'0segment_data284.mat',0
0,'0segment_data285.mat',0
0,'0segment_data286.mat',0
0,'0segment_data287.mat',0
0,'0segment_data288.mat',0
0,'0segment_data289.mat',0
0,'0segment_data290.mat',0
0,'0segment_data291.mat',0
0,'0segment_data292.mat',0
0,'0segment_data293.mat',0
0,'0segment_data294.mat',0
0,'0segment_data295.mat',0
0,'0segment_data296.mat',0
0,'0segment_data297.mat',0
0,'0segment_data298.mat',0
0,'0segment_data299.mat',0
0,'0segment_data300.mat',0
0,'0segment_data301.mat',0
0,'0segment_data302.mat',0
0,'0segment_data303.mat',0
0,'0segment_data304.mat',0
0,'0segment_data305.mat',0
0,'0segment_data306.mat',0
0,'0segment_data307.mat',0
0,'0segment_data308.mat',0
0,'0segment_data309.mat',0
0,'0segment_data310.mat',0
0,'0segment_data311.mat',0
0,'0segment_data312.mat',0
0,'0segment_data313.mat',0
0,'0segment_data314.mat',0
0,'0segment_data315.mat',0
0,'0segment_data316.mat',0
0,'0segment_data317.mat',0
0,'0segment_data318.mat',0
0,'0segment_data319.mat',0
0,'0segment_data320.mat',0
0,'0segment_data321.mat',0
0,'0segment_data322.mat',0
0,'0segment_data323.mat',0
0,'0segment_data324.mat',0
0,'0segment_data325.mat',0
0,'0segment_data326.mat',0
0,'0segment_data327.mat',0
0,'0segment_data328.mat',0
0,'0segment_data329.mat',0
0,'0segment_data330.mat',0
0,'0segment_data331.mat',0
0,'0segment_data332.mat',0
0,'0segment_data333.mat',0
0,'0segment_data334.mat',0
0,'0segment_data335.mat',0
0,'0segment_data336.mat',0
0,'0segment_data337.mat',0
0,'0segment_data338.mat',0
0,'0segment_data339.mat',0
0,'0segment_data340.mat',0
0,'0segment_data341.mat',0
0,'0segment_data342.mat',0
0,'0segment_data343.mat',0
0,'0segment_data344.mat',0
0,'0segment_data345.mat',0
0,'0segment_data346.mat',0
0,'0segment_data347.mat',0
0,'0segment_data348.mat',0
0,'0segment_data349.mat',0
1,'0segment_data350.mat',0
1,'0segment_data351.mat',0
1,'0segment_data352.mat',0
1,'0segment_data353.mat',0
1,'0segment_data354.mat',0
1,'0segment_data355.mat',0
1,'0segment_data356.mat',0
1,'0segment_data357.mat',0
1,'0segment_data358.mat',0
1,'0segment_data359.mat',0
1,'0segment_data360.mat',0
1,'0segment_data361.mat',0
1,'0segment_data362.mat',0
1,'0segment_data363.mat',0
1,'0segment_data364.mat',0
1,'0segment_data365.mat',0
1,'0segment_data366.mat',0
1,'0segment_data367.mat',0
1,'0segment_data368.mat',0
1,'0segment_data369.mat',0
1,'0segment_data370.mat',0
1,'0segment_data371.mat',0
1,'0segment_data372.mat',0
1,'0segment_data373.mat',0
1,'0segment_data374.mat',0
1,'0segment_data375.mat',0
1,'0segment_data376.mat',0
1,'0segment_data377.mat',0
1,'0segment_data378.mat',0
1,'0segment_data379.mat',0
1,'0segment_data380.mat',0
1,'0segment_data381.mat',0
1,'0segment_data382.mat',0
1,'0segment_data383.mat',0
1,'0segment_data384.mat',0
1,'0segment_data385.mat',0
1,'0segment_data386.mat',0
1,'0segment_data387.mat',0
1,'0segment_data388.mat',0
1,'0segment_data389.mat',0
1,'0segment_data390.mat',0
1,'0segment_data391.mat',0
1,'0segment_data392.mat',0
1,'0segment_data393.mat',0
1,'0segment_data394.mat',0
1,'0segment_data395.mat',0
1,'0segment_data396.mat',0
1,'0segment_data397.mat',0
1,'0segment_data398.mat',0
1,'0segment_data399.mat',0
1,'0segment_data400.mat',0
1,'0segment_data401.mat',0
1,'0segment_data402.mat',0
1,'0segment_data403.mat',0
1,'0segment_data404.mat',0
1,'0segment_data405.mat',0
1,'0segment_data406.mat',0
1,'0segment_data407.mat',0
1,'0segment_data408.mat',0
1,'0segment_data409.mat',0
1,'0segment_data410.mat',0
1,'0segment_data411.mat',0
1,'0segment_data412.mat',0
1,'0segment_data413.mat',0
1,'0segment_data414.mat',0
1,'0segment_data415.mat',0
1,'0segment_data416.mat',0
1,'0segment_data417.mat',0
1,'0segment_data418.mat',0
1,'0segment_data419.mat',0
1,'0segment_data420.mat',0
1,'0segment_data421.mat',0
1,'0segment_data422.mat',0
1,'0segment_data423.mat',0
1,'0segment_data424.mat',0
1,'0segment_data425.mat',0
1,'0segment_data426.mat',0
1,'0segment_data427.mat',0
1,'0segment_data428.mat',0
1,'0segment_data429.mat',0
1,'0segment_data430.mat',0
1,'0segment_data431.mat',0
1,'0segment_data432.mat',0
1,'0segment_data433.mat',0
1,'0segment_data434.mat',0
1,'0segment_data435.mat',0
1,'0segment_data436.mat',0
1,'0segment_data437.mat',0
1,'0segment_data438.mat',0
1,'0segment_data439.mat',0
1,'0segment_data440.mat',0
1,'0segment_data441.mat',0
1,'0segment_data442.mat',0
1,'0segment_data443.mat',0
1,'0segment_data444.mat',0
1,'0segment_data445.mat',0
1,'0segment_data446.mat',0
1,'0segment_data447.mat',0
1,'0segment_data448.mat',0
1,'0segment_data449.mat',0
1,'0segment_data450.mat',0
1,'0segment_data451.mat',0
1,'0segment_data452.mat',0
1,'0segment_data453.mat',0
1,'0segment_data454.mat',0
1,'0segment_data455.mat',0
1,'0segment_data456.mat',0
1,'0segment_data457.mat',0
1,'0segment_data458.mat',0
1,'0segment_data459.mat',0
1,'0segment_data460.mat',0
1,'0segment_data461.mat',0
1,'0segment_data462.mat',0
1,'0segment_data463.mat',0
1,'0segment_data464.mat',0
1,'0segment_data465.mat',0
1,'0segment_data466.mat',0
1,'0segment_data467.mat',0
0,'0segment_data468.mat',0
0,'0segment_data469.mat',0
0,'0segment_data470.mat',0
0,'0segment_data471.mat',0
0,'0segment_data472.mat',0
0,'0segment_data473.mat',0
0,'0segment_data474.mat',0
0,'0segment_data475.mat',0
0,'0segment_data476.mat',0
0,'0segment_data477.mat',0
0,'0segment_data478.mat',0
0,'0segment_data479.mat',0
0,'0segment_data480.mat',0
0,'0segment_data481.mat',0
0,'0segment_data482.mat',0
0,'0segment_data483.mat',0
0,'0segment_data484.mat',0
0,'0segment_data485.mat',0
0,'0segment_data486.mat',0
0,'0segment_data487.mat',0
0,'0segment_data488.mat',0
0,'0segment_data489.mat',0
0,'0segment_data490.mat',0
0,'0segment_data491.mat',0
0,'0segment_data492.mat',0
0,'0segment_data493.mat',0
0,'0segment_data494.mat',0
0,'0segment_data495.mat',0
0,'0segment_data496.mat',0
0,'0segment_data497.mat',0
0,'0segment_data498.mat',0
0,'0segment_data499.mat',0
0,'0segment_data500.mat',0
0,'0segment_data501.mat',0
0,'0segment_data502.mat',0
0,'0segment_data503.mat',0
0,'0segment_data504.mat',0
0,'0segment_data505.mat',0
0,'0segment_data506.mat',0
0,'0segment_data507.mat',0
0,'0segment_data508.mat',0
0,'0segment_data509.mat',0
0,'0segment_data510.mat',0
0,'0segment_data511.mat',0
0,'0segment_data512.mat',0
0,'0segment_data513.mat',0
0,'0segment_data514.mat',0
0,'0segment_data515.mat',0
0,'0segment_data516.mat',0
0,'0segment_data517.mat',0
0,'0segment_data518.mat',0
0,'0segment_data519.mat',0
0,'0segment_data520.mat',0
0,'0segment_data521.mat',0
0,'0segment_data522.mat',0
0,'0segment_data523.mat',0
0,'0segment_data524.mat',0
0,'0segment_data525.mat',0
0,'0segment_data526.mat',0
0,'0segment_data527.mat',0
0,'0segment_data528.mat',0
0,'0segment_data529.mat',0
0,'0segment_data530.mat',0
0,'0segment_data531.mat',0
0,'0segment_data532.mat',0
0,'0segment_data533.mat',0
0,'0segment_data534.mat',0
0,'0segment_data535.mat',0
0,'0segment_data536.mat',0
0,'0segment_data537.mat',0
0,'0segment_data538.mat',0
0,'0segment_data539.mat',0
0,'0segment_data540.mat',0
0,'0segment_data541.mat',0
0,'0segment_data542.mat',0
0,'0segment_data543.mat',0
0,'0segment_data544.mat',0
0,'0segment_data545.mat',0
0,'0segment_data546.mat',0
0,'0segment_data547.mat',0
0,'0segment_data548.mat',0
0,'0segment_data549.mat',0
0,'0segment_data550.mat',0
0,'0segment_data551.mat',0
0,'0segment_data552.mat',0
0,'0segment_data553.mat',0
0,'0segment_data554.mat',0
0,'0segment_data555.mat',0
0,'0segment_data556.mat',0
0,'0segment_data557.mat',0
0,'0segment_data558.mat',0
0,'0segment_data559.mat',0
0,'0segment_data560.mat',0
0,'0segment_data561.mat',0
0,'0segment_data562.mat',0
0,'0segment_data563.mat',0
0,'0segment_data564.mat',0
0,'0segment_data565.mat',0
0,'0segment_data566.mat',0
0,'0segment_data567.mat',0
0,'0segment_data568.mat',0
0,'0segment_data569.mat',0
0,'0segment_data570.mat',0
0,'0segment_data571.mat',0
0,'0segment_data572.mat',0
0,'0segment_data573.mat',0
0,'0segment_data574.mat',0
0,'0segment_data575.mat',0
0,'0segment_data576.mat',0
0,'0segment_data577.mat',0
0,'0segment_data578.mat',0
0,'0segment_data579.mat',0
0,'0segment_data580.mat',0
0,'0segment_data581.mat',0
0,'0segment_data582.mat',0
0,'0segment_data583.mat',0
0,'0segment_data584.mat',0
0,'0segment_data585.mat',0
0,'0segment_data586.mat',0
0,'0segment_data587.mat',0
0,'0segment_data588.mat',0
0,'0segment_data589.mat',0
0,'0segment_data590.mat',0
0,'0segment_data591.mat',0
0,'0segment_data592.mat',0
0,'0segment_data593.mat',0
0,'0segment_data594.mat',0
0,'0segment_data595.mat',0
0,'0segment_data596.mat',0
0,'0segment_data597.mat',0
0,'0segment_data598.mat',0
0,'0segment_data599.mat',0
0,'0segment_data600.mat',0
0,'0segment_data601.mat',0
0,'0segment_data602.mat',0
0,'0segment_data603.mat',0
0,'0segment_data604.mat',0
0,'0segment_data605.mat',0
0,'0segment_data606.mat',0
0,'0segment_data607.mat',0
0,'0segment_data608.mat',0
0,'0segment_data609.mat',0
0,'0segment_data610.mat',0
0,'0segment_data611.mat',0
0,'0segment_data612.mat',0
0,'0segment_data613.mat',0
0,'0segment_data614.mat',0
0,'0segment_data615.mat',0
0,'0segment_data616.mat',0
0,'0segment_data617.mat',0
0,'0segment_data618.mat',0
0,'0segment_data619.mat',0
0,'0segment_data620.mat',0
0,'0segment_data621.mat',0
0,'0segment_data622.mat',0
0,'0segment_data623.mat',0
0,'0segment_data624.mat',0
0,'0segment_data625.mat',0
0,'0segment_data626.mat',0
0,'0segment_data627.mat',0
0,'0segment_data628.mat',0
0,'0segment_data629.mat',0
0,'0segment_data630.mat',0
0,'0segment_data631.mat',0
0,'0segment_data632.mat',0
0,'0segment_data633.mat',0
0,'0segment_data634.mat',0
0,'0segment_data635.mat',0
0,'0segment_data636.mat',0
0,'0segment_data637.mat',0
0,'0segment_data638.mat',0
0,'0segment_data639.mat',0
0,'0segment_data640.mat',0
0,'0segment_data641.mat',0
0,'0segment_data642.mat',0
0,'0segment_data643.mat',0
0,'0segment_data644.mat',0
0,'0segment_data645.mat',0
0,'0segment_data646.mat',0
0,'0segment_data647.mat',0
0,'0segment_data648.mat',0
0,'0segment_data649.mat',0
0,'0segment_data650.mat',0
0,'0segment_data651.mat',0
0,'0segment_data652.mat',0
0,'0segment_data653.mat',0
0,'0segment_data654.mat',0
0,'0segment_data655.mat',0
0,'0segment_data656.mat',0
0,'0segment_data657.mat',0
0,'0segment_data658.mat',0
0,'0segment_data659.mat',0
0,'0segment_data660.mat',0
0,'0segment_data661.mat',0
0,'0segment_data662.mat',0
0,'0segment_data663.mat',0
0,'0segment_data664.mat',0
0,'0segment_data665.mat',0
0,'0segment_data666.mat',0
0,'0segment_data667.mat',0
0,'0segment_data668.mat',0
0,'0segment_data669.mat',0
0,'0segment_data670.mat',0
0,'0segment_data671.mat',0
0,'0segment_data672.mat',0
0,'0segment_data673.mat',0
0,'0segment_data674.mat',0
0,'0segment_data675.mat',0
0,'0segment_data676.mat',0
0,'0segment_data677.mat',0
0,'0segment_data678.mat',0
0,'0segment_data679.mat',0
0,'0segment_data680.mat',0
0,'0segment_data681.mat',0
0,'0segment_data682.mat',0
0,'0segment_data683.mat',0
0,'0segment_data684.mat',0
0,'0segment_data685.mat',0
0,'0segment_data686.mat',0
0,'0segment_data687.mat',0
0,'0segment_data688.mat',0
0,'0segment_data689.mat',0
0,'0segment_data690.mat',0
0,'0segment_data691.mat',0
0,'0segment_data692.mat',0
0,'0segment_data693.mat',0
0,'0segment_data694.mat',0
0,'0segment_data695.mat',0
0,'0segment_data696.mat',0
0,'0segment_data697.mat',0
0,'0segment_data698.mat',0
0,'0segment_data699.mat',0
0,'0segment_data700.mat',0
0,'0segment_data701.mat',0
0,'0segment_data702.mat',0
0,'0segment_data703.mat',0
0,'0segment_data704.mat',0
0,'0segment_data705.mat',0
0,'0segment_data706.mat',0
0,'0segment_data707.mat',0
0,'0segment_data708.mat',0
0,'0segment_data709.mat',0
0,'0segment_data710.mat',0
0,'0segment_data711.mat',0
0,'0segment_data712.mat',0
0,'0segment_data713.mat',0
0,'0segment_data714.mat',0
0,'0segment_data715.mat',0
0,'0segment_data716.mat',0
0,'0segment_data717.mat',0
0,'0segment_data718.mat',0
0,'0segment_data719.mat',0
0,'0segment_data720.mat',0
0,'0segment_data721.mat',0
0,'0segment_data722.mat',0
0,'0segment_data723.mat',0
0,'0segment_data724.mat',0
0,'0segment_data725.mat',0
0,'0segment_data726.mat',0
0,'0segment_data727.mat',0
0,'0segment_data728.mat',0
0,'0segment_data729.mat',0
0,'0segment_data730.mat',0
0,'0segment_data731.mat',0
0,'0segment_data732.mat',0
0,'0segment_data733.mat',0
0,'0segment_data734.mat',0
0,'0segment_data735.mat',0
0,'0segment_data736.mat',0
0,'0segment_data737.mat',0
0,'0segment_data738.mat',0
0,'0segment_data739.mat',0
0,'0segment_data740.mat',0
0,'0segment_data741.mat',0
0,'0segment_data742.mat',0
0,'0segment_data743.mat',0
0,'0segment_data744.mat',0
0,'0segment_data745.mat',0
0,'0segment_data746.mat',0
0,'0segment_data747.mat',0
0,'0segment_data748.mat',0
0,'0segment_data749.mat',0
0,'0segment_data750.mat',0
0,'0segment_data751.mat',0
0,'0segment_data752.mat',0
0,'0segment_data753.mat',0
0,'0segment_data754.mat',0
0,'0segment_data755.mat',0
0,'0segment_data756.mat',0
0,'0segment_data757.mat',0
0,'0segment_data758.mat',0
0,'0segment_data759.mat',0
0,'0segment_data760.mat',0
0,'0segment_data761.mat',0
0,'0segment_data762.mat',0
0,'0segment_data763.mat',0
0,'0segment_data764.mat',0
0,'0segment_data765.mat',0
0,'0segment_data766.mat',0
0,'0segment_data767.mat',0
0,'0segment_data768.mat',0
0,'0segment_data769.mat',0
0,'0segment_data770.mat',0
0,'0segment_data771.mat',0
0,'0segment_data772.mat',0
0,'0segment_data773.mat',0
0,'0segment_data774.mat',0
0,'0segment_data775.mat',0
0,'0segment_data776.mat',0
0,'0segment_data777.mat',0
0,'0segment_data778.mat',0
0,'0segment_data779.mat',0
0,'0segment_data780.mat',0
0,'0segment_data781.mat',0
0,'0segment_data782.mat',0
0,'0segment_data783.mat',0
0,'0segment_data784.mat',0
0,'0segment_data785.mat',0
0,'0segment_data786.mat',0
0,'0segment_data787.mat',0
0,'0segment_data788.mat',0
0,'0segment_data789.mat',0
0,'0segment_data790.mat',0
0,'0segment_data791.mat',0
0,'0segment_data792.mat',0
0,'0segment_data793.mat',0
0,'0segment_data794.mat',0
0,'0segment_data795.mat',0
0,'0segment_data796.mat',0
0,'0segment_data797.mat',0
0,'0segment_data798.mat',0
0,'0segment_data799.mat',0
0,'0segment_data800.mat',0
0,'0segment_data801.mat',0
0,'0segment_data802.mat',0
0,'0segment_data803.mat',0
0,'0segment_data804.mat',0
0,'0segment_data805.mat',0
0,'0segment_data806.mat',0
0,'0segment_data807.mat',0
0,'0segment_data808.mat',0
0,'0segment_data809.mat',0
0,'0segment_data810.mat',0
0,'0segment_data811.mat',0
0,'0segment_data812.mat',0
0,'0segment_data813.mat',0
0,'0segment_data814.mat',0
0,'0segment_data815.mat',0
0,'0segment_data816.mat',0
0,'0segment_data817.mat',0
0,'0segment_data818.mat',0
0,'0segment_data819.mat',0
0,'0segment_data820.mat',0
0,'0segment_data821.mat',0
0,'0segment_data822.mat',0
0,'0segment_data823.mat',0
0,'0segment_data824.mat',0
0,'0segment_data825.mat',0
0,'0segment_data826.mat',0
0,'0segment_data827.mat',0
0,'0segment_data828.mat',0
0,'0segment_data829.mat',0
0,'0segment_data830.mat',0
0,'0segment_data831.mat',0
0,'0segment_data832.mat',0
0,'0segment_data833.mat',0
0,'0segment_data834.mat',0
0,'0segment_data835.mat',0
0,'0segment_data836.mat',0
0,'0segment_data837.mat',0
0,'0segment_data838.mat',0
0,'0segment_data839.mat',0
0,'0segment_data840.mat',0
0,'0segment_data841.mat',0
0,'0segment_data842.mat',0
0,'0segment_data843.mat',0
0,'0segment_data844.mat',0
0,'0segment_data845.mat',0
0,'0segment_data846.mat',0
0,'0segment_data847.mat',0
0,'0segment_data848.mat',0
0,'0segment_data849.mat',0
0,'0segment_data850.mat',0
0,'0segment_data851.mat',0
1,'0segment_data852.mat',0
1,'0segment_data853.mat',0
1,'0segment_data854.mat',0
1,'0segment_data855.mat',0
1,'0segment_data856.mat',0
1,'0segment_data857.mat',0
1,'0segment_data858.mat',0
1,'0segment_data859.mat',0
1,'0segment_data860.mat',0
1,'0segment_data861.mat',0
1,'0segment_data862.mat',0
1,'0segment_data863.mat',0
1,'0segment_data864.mat',0
1,'0segment_data865.mat',0
1,'0segment_data866.mat',0
1,'0segment_data867.mat',0
1,'0segment_data868.mat',0
1,'0segment_data869.mat',0
1,'0segment_data870.mat',0
1,'0segment_data871.mat',0
1,'0segment_data872.mat',0
1,'0segment_data873.mat',0
1,'0segment_data874.mat',0
1,'0segment_data875.mat',0
1,'0segment_data876.mat',0
1,'0segment_data877.mat',0
1,'0segment_data878.mat',0
1,'0segment_data879.mat',0
1,'0segment_data880.mat',0
1,'0segment_data881.mat',0
1,'0segment_data882.mat',0
1,'0segment_data883.mat',0
1,'0segment_data884.mat',0
1,'0segment_data885.mat',0
1,'0segment_data886.mat',0
1,'0segment_data887.mat',0
1,'0segment_data888.mat',0
1,'0segment_data889.mat',0
1,'0segment_data890.mat',0
1,'0segment_data891.mat',0
1,'0segment_data892.mat',0
1,'0segment_data893.mat',0
1,'0segment_data894.mat',0
1,'0segment_data895.mat',0
1,'0segment_data896.mat',0
1,'0segment_data897.mat',0
1,'0segment_data898.mat',0
1,'0segment_data899.mat',0
1,'0segment_data900.mat',0
1,'0segment_data901.mat',0
1,'0segment_data902.mat',0
1,'0segment_data903.mat',0
1,'0segment_data904.mat',0
1,'0segment_data905.mat',0
1,'0segment_data906.mat',0
1,'0segment_data907.mat',0
1,'0segment_data908.mat',0
1,'0segment_data909.mat',0
1,'0segment_data910.mat',0
1,'0segment_data911.mat',0
1,'0segment_data912.mat',0
1,'0segment_data913.mat',0
1,'0segment_data914.mat',0
1,'0segment_data915.mat',0
1,'0segment_data916.mat',0
1,'0segment_data917.mat',0
1,'0segment_data918.mat',0
1,'0segment_data919.mat',0
1,'0segment_data920.mat',0
1,'0segment_data921.mat',0
1,'0segment_data922.mat',0
1,'0segment_data923.mat',0
1,'0segment_data924.mat',0
1,'0segment_data925.mat',0
1,'0segment_data926.mat',0
1,'0segment_data927.mat',0
1,'0segment_data928.mat',0
1,'0segment_data929.mat',0
1,'0segment_data930.mat',0
1,'0segment_data931.mat',0
1,'0segment_data932.mat',0
